# file: antigen_oid.txt
# date: 2020-07-13
# version: IPD-IMGT/HLA 3.41.0
# origin: https://github.com/ANHIG/IMGTHLA/oid/antigen_oid.txt
# repository: https://raw.githubusercontent.com/ANHIG/IMGTHLA/Latest/oid/antigen_oid.txt
# author: WHO, Steven G. E. Marsh (steven.marsh@ucl.ac.uk)
Antigen,OID
B44(12),2.16.840.1.113883.13.252.1.2.54
B45(12),2.16.840.1.113883.13.252.1.2.55
B46,2.16.840.1.113883.13.252.1.2.56
B47,2.16.840.1.113883.13.252.1.2.57
B48,2.16.840.1.113883.13.252.1.2.58
B49(21),2.16.840.1.113883.13.252.1.2.59
B50(21),2.16.840.1.113883.13.252.1.2.60
B51(5),2.16.840.1.113883.13.252.1.2.61
B5102,2.16.840.1.113883.13.252.1.2.62
B5103,2.16.840.1.113883.13.252.1.2.63
B52(5),2.16.840.1.113883.13.252.1.2.64
B53,2.16.840.1.113883.13.252.1.2.65
B54(22),2.16.840.1.113883.13.252.1.2.66
B55(22),2.16.840.1.113883.13.252.1.2.67
B56(22),2.16.840.1.113883.13.252.1.2.68
B57(17),2.16.840.1.113883.13.252.1.2.69
B58(17),2.16.840.1.113883.13.252.1.2.70
B59,2.16.840.1.113883.13.252.1.2.71
B60(40),2.16.840.1.113883.13.252.1.2.72
B61(40),2.16.840.1.113883.13.252.1.2.73
B62(15),2.16.840.1.113883.13.252.1.2.74
B63(15),2.16.840.1.113883.13.252.1.2.75
B64(14),2.16.840.1.113883.13.252.1.2.76
B65(14),2.16.840.1.113883.13.252.1.2.77
B67,2.16.840.1.113883.13.252.1.2.78
B70,2.16.840.1.113883.13.252.1.2.79
B71(70),2.16.840.1.113883.13.252.1.2.80
B72(70),2.16.840.1.113883.13.252.1.2.81
B73,2.16.840.1.113883.13.252.1.2.82
B75(15),2.16.840.1.113883.13.252.1.2.83
B76(15),2.16.840.1.113883.13.252.1.2.84
B77(15),2.16.840.1.113883.13.252.1.2.85
B78,2.16.840.1.113883.13.252.1.2.86
B81,2.16.840.1.113883.13.252.1.2.87
B82,2.16.840.1.113883.13.252.1.2.88
Bw4,2.16.840.1.113883.13.252.1.2.89
Bw6,2.16.840.1.113883.13.252.1.2.90
Cw1,2.16.840.1.113883.13.252.1.2.91
Cw2,2.16.840.1.113883.13.252.1.2.92
Cw3,2.16.840.1.113883.13.252.1.2.93
Cw4,2.16.840.1.113883.13.252.1.2.94
Cw5,2.16.840.1.113883.13.252.1.2.95
Cw6,2.16.840.1.113883.13.252.1.2.96
Cw7,2.16.840.1.113883.13.252.1.2.97
Cw8,2.16.840.1.113883.13.252.1.2.98
Cw9(w3),2.16.840.1.113883.13.252.1.2.99
Cw10(w3),2.16.840.1.113883.13.252.1.2.100
Dw1,2.16.840.1.113883.13.252.1.2.101
Dw2,2.16.840.1.113883.13.252.1.2.102
Dw3,2.16.840.1.113883.13.252.1.2.103
Dw4,2.16.840.1.113883.13.252.1.2.104
Dw5,2.16.840.1.113883.13.252.1.2.105
Dw6,2.16.840.1.113883.13.252.1.2.106
Dw7,2.16.840.1.113883.13.252.1.2.107
Dw8,2.16.840.1.113883.13.252.1.2.108
Dw9,2.16.840.1.113883.13.252.1.2.109
Dw10,2.16.840.1.113883.13.252.1.2.110
Dw11(w7),2.16.840.1.113883.13.252.1.2.111
Dw12,2.16.840.1.113883.13.252.1.2.112
Dw13,2.16.840.1.113883.13.252.1.2.113
Dw14,2.16.840.1.113883.13.252.1.2.114
Dw15,2.16.840.1.113883.13.252.1.2.115
Dw16,2.16.840.1.113883.13.252.1.2.116
Dw17(w7),2.16.840.1.113883.13.252.1.2.117
Dw18(w6),2.16.840.1.113883.13.252.1.2.118
Dw19(w6),2.16.840.1.113883.13.252.1.2.119
Dw20,2.16.840.1.113883.13.252.1.2.120
Dw21,2.16.840.1.113883.13.252.1.2.121
Dw22,2.16.840.1.113883.13.252.1.2.122
Dw23,2.16.840.1.113883.13.252.1.2.123
Dw24,2.16.840.1.113883.13.252.1.2.124
Dw25,2.16.840.1.113883.13.252.1.2.125
Dw26,2.16.840.1.113883.13.252.1.2.126
DR1,2.16.840.1.113883.13.252.1.2.127
DR103,2.16.840.1.113883.13.252.1.2.128
DR2,2.16.840.1.113883.13.252.1.2.129
DR3,2.16.840.1.113883.13.252.1.2.130
DR4,2.16.840.1.113883.13.252.1.2.131
DR5,2.16.840.1.113883.13.252.1.2.132
DR6,2.16.840.1.113883.13.252.1.2.133
DR7,2.16.840.1.113883.13.252.1.2.134
DR8,2.16.840.1.113883.13.252.1.2.135
DR9,2.16.840.1.113883.13.252.1.2.136
DR10,2.16.840.1.113883.13.252.1.2.137
DR11(5),2.16.840.1.113883.13.252.1.2.138
DR12(5),2.16.840.1.113883.13.252.1.2.139
DR13(6),2.16.840.1.113883.13.252.1.2.140
DR14(6),2.16.840.1.113883.13.252.1.2.141
DR1403,2.16.840.1.113883.13.252.1.2.142
DR1404,2.16.840.1.113883.13.252.1.2.143
DR15(2),2.16.840.1.113883.13.252.1.2.144
DR16(2),2.16.840.1.113883.13.252.1.2.145
DR17(3),2.16.840.1.113883.13.252.1.2.146
DR18(3),2.16.840.1.113883.13.252.1.2.147
DR51,2.16.840.1.113883.13.252.1.2.148
DR52,2.16.840.1.113883.13.252.1.2.149
DR53,2.16.840.1.113883.13.252.1.2.150
DQ1,2.16.840.1.113883.13.252.1.2.151
DQ2,2.16.840.1.113883.13.252.1.2.152
DQ3,2.16.840.1.113883.13.252.1.2.153
DQ4,2.16.840.1.113883.13.252.1.2.154
DQ5(1),2.16.840.1.113883.13.252.1.2.155
DQ6(1),2.16.840.1.113883.13.252.1.2.156
DQ7(3),2.16.840.1.113883.13.252.1.2.157
DQ8(3),2.16.840.1.113883.13.252.1.2.158
DQ9(3),2.16.840.1.113883.13.252.1.2.159
DPw1,2.16.840.1.113883.13.252.1.2.160
DPw2,2.16.840.1.113883.13.252.1.2.161
DPw3,2.16.840.1.113883.13.252.1.2.162
DPw4,2.16.840.1.113883.13.252.1.2.163
DPw5,2.16.840.1.113883.13.252.1.2.164
DPw6,2.16.840.1.113883.13.252.1.2.165
